,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,num_epochs
79,0,5,0.5598306193947792,0.7907166666666666,6.716414213180542,34.70542025566101,0.001,1000,5
80,0,1,1.5717142393191657,0.46108333333333335,6.893268346786499,7.621115446090698,0.001,1000,10
81,0,2,0.7477540741364161,0.7199833333333333,6.598762512207031,14.341552972793579,0.001,1000,10
82,0,3,0.6407263368368149,0.7533833333333333,6.735198497772217,21.186426401138306,0.001,1000,10
83,0,4,0.5875038375457128,0.7752666666666667,6.781188249588013,28.097267627716064,0.001,1000,10
84,0,5,0.5451671714584033,0.7924666666666667,6.696579456329346,34.918477058410645,0.001,1000,10
85,0,6,0.5096457178393999,0.8101833333333334,6.78941011428833,41.823577880859375,0.001,1000,10
86,0,7,0.480337023238341,0.82345,6.762606143951416,48.71184682846069,0.001,1000,10
87,0,8,0.455469045539697,0.8345666666666667,6.825204849243164,55.666422843933105,0.001,1000,10
88,0,9,0.4347894007960955,0.8429833333333333,7.008068799972534,62.791170835494995,0.001,1000,10
89,0,10,0.41756432155768075,0.8497833333333333,6.657311201095581,69.61855459213257,0.001,1000,10
